Timestamp,Pass-Fail,"Pat Score","Pat Scale","Blob Area","Circle Radius"
"2022-06-24_11-25-18.051","Pass","0.986864864826202","0.982378226346654","169.000000000001","470.0758480028"
"2022-06-24_11-25-21.491","Pass","0.984848737716675","0.982435403471106","168.000000000001","470.448749281633"
"2022-06-24_11-25-22.129","Pass","0.982832610607147","0.981877855757507","167.000000000001","471.285352790545"
"2022-06-24_11-25-22.739","Pass","0.985352754592896","0.981835116055147","166.000000000001","471.29069818969"
"2022-06-24_11-25-23.220","Pass","0.986864864826202","0.982392969766096","169.000000000001","470.061971290227"
"2022-06-24_11-25-23.740","Pass","0.985352754592896","0.982389239421713","167.000000000001","470.507053861797"
"2022-06-24_11-25-24.267","Pass","0.984721004962921","0.981909055163162","166.000000000001","471.317074267937"
"2022-06-24_11-25-24.765","Pass","0.986864864826202","0.982452510759722","167.000000000001","470.0744970018"
"2022-06-24_11-25-25.297","Pass","0.982944846153259","0.98237265700116","168.000000000001","470.953069110218"
"2022-06-24_11-25-25.860","Pass","0.984344720840454","0.982420280996798","165.000000000001","470.776422422369"
"2022-06-24_11-25-26.380","Pass","0.982517600059509","0.982358972421371","166.000000000001","470.647549842658"
"2022-06-24_11-25-26.895","Pass","0.988625586032867","0.982429732481167","167.000000000001","469.899034976523"
"2022-06-24_11-25-27.402","Pass","0.98609846830368","0.982324605456389","171.000000000001","470.037400040894"
"2022-06-24_11-25-27.871","Pass","0.982285678386688","0.982144075942907","169.000000000001","470.442230297273"
"2022-06-24_11-25-28.353","Pass","0.987091600894928","0.982035256320796","166.000000000001","469.932179218377"
"2022-06-24_11-25-28.801","Pass","0.984391868114471","0.982433930314593","167.000000000001","470.064263319766"
"2022-06-24_11-25-29.298","Pass","0.981998205184937","0.982423574600183","166.000000000001","470.430853554279"
"2022-06-24_11-25-29.773","Pass","0.986864864826202","0.98248927834729","164.000000000001","470.076925798151"
"2022-06-24_11-25-30.217","Pass","0.982303380966187","0.982065343868562","167.000000000001","469.922165894203"
"2022-06-24_11-25-30.670","Pass","0.981130063533783","0.982423144593877","165.000000000001","470.502497065757"
"2022-06-24_11-25-31.147","Pass","0.985977649688721","0.982462436995988","164.000000000001","470.536357232634"
"2022-06-24_11-25-31.599","Pass","0.983323276042938","0.982471253903421","166.000000000001","470.446641677215"
"2022-06-24_11-25-32.105","Pass","0.9806769490242","0.981922072919006","167.000000000001","471.29625183433"
"2022-06-24_11-25-32.605","Pass","0.988497793674469","0.982356616071766","166.000000000001","470.063339296989"
"2022-06-24_11-25-33.081","Pass","0.989729583263397","0.982101689076578","169.000000000001","470.80782482651"
"2022-06-24_11-25-33.549","Pass","0.985352754592896","0.982420967234478","168.000000000001","470.938160683622"
"2022-06-24_11-25-34.025","Pass","0.985352754592896","0.982301126085317","167.000000000001","470.512878745155"
"2022-06-24_11-25-34.495","Pass","0.988618493080139","0.982543996552833","166.000000000001","470.937884202149"
"2022-06-24_11-25-34.991","Pass","0.989005327224731","0.981896692550205","169.000000000001","470.88103718091"
"2022-06-24_11-25-35.538","Pass","0.988459646701813","0.981866395337748","167.000000000001","471.761894378929"
