Timestamp,Pass-Fail,"FoundCaliper1Distance","FoundCaliper2Distance","FoundCaliper3Distance","FoundCaliper4Distance"
"2022-06-22_13-29-51.432","Pass","13.2625581925864","12.9264708817068","14.6949218353111","10.1331730869837"
"2022-06-22_13-29-54.023","Pass","13.2615630401348","12.9040661563262","14.6924872087828","10.1388045954542"
"2022-06-22_13-29-55.272","Pass","13.2545187838565","12.9211170909922","14.677491970967","10.1395765601801"
"2022-06-22_13-29-56.209","Pass","13.2652807967921","12.9140748104935","14.6861076685616","10.1459197490318"
"2022-06-22_13-29-56.903","Pass","13.2605591412995","12.9275699878203","14.6787701153092","10.1565250002228"
"2022-06-22_13-29-57.530","Pass","13.2544776401311","12.9183544703712","14.6753144619903","10.145693453957"
"2022-06-22_13-29-58.089","Pass","13.2572278881296","12.9097489697162","14.6809002153663","10.1451170848385"
"2022-06-22_13-29-58.581","Pass","13.2448941934664","12.9222879855356","14.6806727174942","10.1536596023839"
"2022-06-22_13-29-59.073","Pass","13.2502991289466","12.9312625443735","14.6761709384785","10.1540253167881"
"2022-06-22_13-29-59.595","Pass","13.2559526369503","12.9097485980631","14.6685658532458","10.1613724951433"
"2022-06-22_13-30-00.068","Pass","13.247891004053","12.9199498150422","14.6810046528106","10.1510580996496"
"2022-06-22_13-30-00.509","Pass","13.2619486669521","12.9325949731345","14.6830291834375","10.1579331252505"
"2022-06-22_13-30-00.961","Pass","13.2573841645013","12.9267089861458","14.6804845830159","10.1666242346776"
"2022-06-22_13-30-01.523","Pass","13.2529813961167","12.9321984861108","14.6821631079176","10.1805226164018"
"2022-06-22_13-30-02.132","Pass","13.2633689665801","12.9337629434495","14.675492041256","10.159680297979"
"2022-06-22_13-30-02.663","Pass","13.249759641315","12.9301676640867","14.6869075371756","10.1678798205515"
"2022-06-22_13-30-03.161","Pass","13.2600560655232","12.9258597755518","14.6754885817073","10.1817678337172"
"2022-06-22_13-30-03.669","Pass","13.2605425284738","12.9222319964854","14.6972907852022","10.1722317180088"
"2022-06-22_13-30-04.169","Pass","13.2535673392001","12.9201079582292","14.6778359392929","10.1373614847158"
"2022-06-22_13-30-04.778","Pass","13.268085809377","12.9227206962233","14.7017831201892","10.1068928969717"
"2022-06-22_13-30-05.230","Pass","13.2770404466747","12.91900788256","14.6854937931368","10.146446092102"
"2022-06-22_13-30-05.762","Pass","13.2636814420374","12.9089425638117","14.6969083292683","10.147995182539"
"2022-06-22_13-30-06.251","Pass","13.2622350525768","12.9135623281564","14.6811988034686","10.1183852639667"
"2022-06-22_13-30-06.775","Pass","13.2626768041567","12.9190903646203","14.6850178456456","10.092252507029"
"2022-06-22_13-30-07.431","Pass","13.2532419739359","12.9176631134981","14.7022050276118","10.1042773876742"
"2022-06-22_13-30-07.837","Pass","13.2615389852471","12.8840080097837","14.7004360393115","10.1500927531946"
"2022-06-22_13-30-08.351","Pass","13.2753505331042","12.9386171288429","14.6989972119877","10.1727327668146"
"2022-06-22_13-30-08.798","Pass","13.2881407786885","12.8926618440005","14.6983926981171","10.085472896587"
"2022-06-22_13-30-09.225","Pass","13.2756131426184","12.9250229801956","14.700151801151","10.1548203467387"
"2022-06-22_13-30-09.821","Pass","13.2606808730926","12.9194800400994","14.7000430537321","10.1571345436511"
